date,temp,dew_point,humidity,wind_speed,pressure
01/06/2022,66,25.3,29.8,5.4,26.4
02/06/2022,70,27.2,37,7.7,26.4
03/06/2022,72,27,30,12.5,26.2
04/06/2022,68,46.2,64.8,10.4,26.1
05/06/2022,59,49.1,90.4,9.1,26.1
06/06/2022,63,47.7,84.4,9.2,26.2
07/06/2022,61,44.8,75.6,10.9,26.3
08/06/2022,72,39.8,54,10,26.2
09/06/2022,72,36.3,42,8.5,26.1
10/06/2022,75,33.2,33.1,12.4,26
11/06/2022,72,39.8,44.1,8.2,26
12/06/2022,64,42.8,62.5,8.7,26
13/06/2022,59,46.8,85.8,12.3,26
14/06/2022,52,45.6,88.1,25.4,25.9
15/06/2022,59,44.8,72.3,25.2,26.1
16/06/2022,64,46.3,65.8,9.4,26.3
17/06/2022,70,53.9,79.1,9.3,26.1
18/06/2022,68,52.5,78.2,6.4,26.1
19/06/2022,66,48.3,70.5,8.4,26.2
20/06/2022,66,45.7,64.1,12.1,26.3
21/06/2022,73,42,51.8,6,26.4
22/06/2022,75,44.4,51.2,9,26.2
23/06/2022,54,44.5,81.3,11.9,26.2
24/06/2022,59,40.5,72.6,18.3,26.4
25/06/2022,66,38.1,51.7,7.5,26.6
26/06/2022,75,37.3,41.8,5.5,26.5
27/06/2022,75,45.6,53.6,8,26.4
28/06/2022,72,53.7,76.9,9.4,26.3
29/06/2022,64,45.8,69.2,9.6,26.2
30/06/2022,70,44.1,56.2,6.9,26.4
